sample_id,path,total_reads,filename,title,study,bioproject_accession,accession,biosample_accession,library_id,data_type,filetype,cell_type,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,basecaller,basecaller_version,platform,instrument_model,iso_library_id,ccs_algorithm,pbtrim_version,jasmine_version,lima_version,refine_version,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,design_description,polymerase_version,seq_plate_chemistry_version,pool,ntsm_score,similarity,check-flnc reads,generator_contact
HG01798,s3://human-pangenomics/working/HPRC/HG01798/raw_data/PacBio_Kinnex/HG01798.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,18396013,HG01798.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01798.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-5.bam,m84203_241028_200231_s4,m84203_241028_220156_s1,bc05,,5,PACBIO,REVIO,HPRC_Kinnex_Pool16,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool016,0.208935,1,TRUE,iviolich@ucsc.edu
HG01884,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex/HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,17230581,HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc07,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_6,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool6,0.16478,1,TRUE,iviolich@ucsc.edu
HG01891,s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_Kinnex/HG01891.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam,18896124,HG01891.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01891.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240712_194046_s2,m84081_240717_095021_s3,bc05,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_1,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool1,0.155427,1,TRUE,iviolich@ucsc.edu
HG01894,s3://human-pangenomics/working/HPRC/HG01894/raw_data/PacBio_Kinnex/HG01894.lymph.m84203_241029_195536_s2-m84203_241029_215509_s3.flnc.bam,15349920,HG01894.lymph.m84203_241029_195536_s2-m84203_241029_215509_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01894.lymph.m84203_241029_195536_s2-m84203_241029_215509_s3,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-6.bam,m84203_241029_195536_s2,m84203_241029_215509_s3,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool17,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool017,0.202253,1,TRUE,iviolich@ucsc.edu
HG01928,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240713_071511_s3.flnc.bam,7276818,HG01928.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01928.lymph.m84046_240713_071511_s3,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_071511_s3,NA,bc11,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.156815,1,TRUE,iviolich@ucsc.edu
HG01928,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_Kinnex/HG01928.lymph.m84046_240717_105141_s2.flnc.bam,7145440,HG01928.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01928.lymph.m84046_240717_105141_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240717_105141_s2,NA,bc11,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.159928,1,TRUE,iviolich@ucsc.edu
HG01934,s3://human-pangenomics/working/HPRC/HG01934/raw_data/PacBio_Kinnex/HG01934.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,19800834,HG01934.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01934.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc08,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_6,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool6,0.155479,1,TRUE,iviolich@ucsc.edu
HG01940,s3://human-pangenomics/working/HPRC/HG01940/raw_data/PacBio_Kinnex/HG01940.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam,22363243,HG01940.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01940.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240721_062628_s1,m84081_240721_042704_s2,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_11,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool11,0.141536,1,TRUE,iviolich@ucsc.edu
HG01943,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_Kinnex/HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,19708108,HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc09,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_7,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool7,0.153421,1,TRUE,iviolich@ucsc.edu
HG01952,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240713_071511_s3.flnc.bam,7805857,HG01952.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01952.lymph.m84046_240713_071511_s3,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240713_071511_s3,NA,bc12,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.175432,1,TRUE,iviolich@ucsc.edu
HG01952,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_Kinnex/HG01952.lymph.m84046_240717_105141_s2.flnc.bam,7662103,HG01952.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01952.lymph.m84046_240717_105141_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240717_105141_s2,NA,bc12,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.171525,1,TRUE,iviolich@ucsc.edu
HG01960,s3://human-pangenomics/working/HPRC/HG01960/raw_data/PacBio_Kinnex/HG01960.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,14552038,HG01960.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01960.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240719_183458_s2,m84081_240719_203427_s1,bc03,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_9,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool9,0.174559,1,TRUE,iviolich@ucsc.edu
HG01969,s3://human-pangenomics/working/HPRC/HG01969/raw_data/PacBio_Kinnex/HG01969.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam,12005365,HG01969.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01969.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240721_062628_s1,m84081_240721_042704_s2,bc10,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_11,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool11,0.167561,1,TRUE,iviolich@ucsc.edu
HG01975,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_Kinnex/HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,19380665,HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240719_183458_s2,m84081_240719_203427_s1,bc01,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_9,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool9,0.143189,1,TRUE,iviolich@ucsc.edu
HG01978,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240713_071511_s3.flnc.bam,7723751,HG01978.lymph.m84046_240713_071511_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01978.lymph.m84046_240713_071511_s3,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_071511_s3,NA,bc10,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.186136,1,TRUE,iviolich@ucsc.edu
HG01978,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_Kinnex/HG01978.lymph.m84046_240717_105141_s2.flnc.bam,7581179,HG01978.lymph.m84046_240717_105141_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01978.lymph.m84046_240717_105141_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240717_105141_s2,NA,bc10,,5,PACBIO,REVIO,HPRC_Pool002.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool002.KN,0.185434,1,TRUE,iviolich@ucsc.edu
HG01981,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_Kinnex/HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,21593908,HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc10,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_7,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool7,0.166944,1,TRUE,iviolich@ucsc.edu
HG01993,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_Kinnex/HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,16580497,HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc11,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_7,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool7,0.151037,1,TRUE,iviolich@ucsc.edu
HG02004,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_Kinnex/HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,16359794,HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc12,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_7,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool7,0.146583,1,TRUE,iviolich@ucsc.edu
HG02015,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_Kinnex/HG02015.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,17165724,HG02015.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02015.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc01,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_7,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool7,0.15307,1,TRUE,iviolich@ucsc.edu
HG02027,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240713_051553_s2.flnc.bam,5600881,HG02027.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02027.lymph.m84046_240713_051553_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_051553_s2,NA,bc06,,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.178678,1,TRUE,iviolich@ucsc.edu
HG02027,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_Kinnex/HG02027.lymph.m84046_240722_012946_s4.flnc.bam,6140859,HG02027.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02027.lymph.m84046_240722_012946_s4,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240722_012946_s4,NA,bc06,,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.171512,1,TRUE,iviolich@ucsc.edu
HG02040,s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_Kinnex/HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,22714843,HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240726_211757_s1,m84081_240726_191837_s2,bc11,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_14,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool14,0.173373,1,TRUE,iviolich@ucsc.edu
HG02056,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_Kinnex/HG02056.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,17893845,HG02056.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02056.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240719_183458_s2,m84081_240719_203427_s1,bc06,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_9,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool9,0.148101,1,TRUE,iviolich@ucsc.edu
HG02071,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240713_091428_s4.flnc.bam,6651858,HG02071.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02071.lymph.m84046_240713_091428_s4,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_091428_s4,NA,bc10,,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.187661,1,TRUE,iviolich@ucsc.edu
HG02071,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240717_125059_s3.flnc.bam,8168841,HG02071.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02071.lymph.m84046_240717_125059_s3,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240717_125059_s3,NA,bc10,,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.189606,1,TRUE,iviolich@ucsc.edu
HG02074,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240713_051553_s2.flnc.bam,5535067,HG02074.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02074.lymph.m84046_240713_051553_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_051553_s2,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.175062,1,TRUE,iviolich@ucsc.edu
HG02074,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240722_012946_s4.flnc.bam,6066981,HG02074.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02074.lymph.m84046_240722_012946_s4,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240722_012946_s4,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.170779,1,TRUE,iviolich@ucsc.edu
HG02083,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240713_091428_s4.flnc.bam,6394842,HG02083.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02083.lymph.m84046_240713_091428_s4,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240713_091428_s4,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.172237,1,TRUE,iviolich@ucsc.edu
HG02083,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_Kinnex/HG02083.lymph.m84046_240717_125059_s3.flnc.bam,7887715,HG02083.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02083.lymph.m84046_240717_125059_s3,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240717_125059_s3,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.160398,1,TRUE,iviolich@ucsc.edu
HG02129,s3://human-pangenomics/working/HPRC/HG02129/raw_data/PacBio_Kinnex/HG02129.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam,21855729,HG02129.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG02129.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240719_223349_s3,m84081_240720_003316_s4,bc10,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_10,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool10,0.15665,1,TRUE,iviolich@ucsc.edu
