sample_id,release,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG01928,2,bam,m84081_231222_081401_s1.hifi_reads.bc2022.bam,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2022.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,4,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578338,PRJNA701308,SAMN17861660,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01928_lib1_m84081_231222_081401_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,546909,12385266485,12.39,22645,213,67687,19488,22864,27510,18631,21556,25656,0.656523,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01928,2,bam,m84081_231222_101332_s2.hifi_reads.bc2022.bam,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m84081_231222_101332_s2.hifi_reads.bc2022.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,5.3,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578337,PRJNA701308,SAMN17861660,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01928_lib1_m84081_231222_101332_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,714090,16376511508,16.38,22933,204,69271,19744,23257,27912,18823,21894,26092,0.645488,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01928,2,bam,m84081_231222_121301_s3.hifi_reads.bc2022.bam,s3://human-pangenomics/working/HPRC/HG01928/raw_data/PacBio_HiFi/m84081_231222_121301_s3.hifi_reads.bc2022.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,5.4,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578336,PRJNA701308,SAMN17861660,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01928_lib1_m84081_231222_121301_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,727157,16771401142,16.77,23064,216,71897,19844,23409,28081,18910,22028,26251,0.636475,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01934,2,bam,m84081_231117_201125_s2.hifi_reads.bc2088.bam,s3://human-pangenomics/working/HPRC/HG01934/raw_data/PacBio_HiFi/m84081_231117_201125_s2.hifi_reads.bc2088.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,13.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545932,PRJNA701308,SAMN26237498,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01934_lib1_m84081_231117_201125_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1809808,41361391990,41.36,22854,142,67040,21010,23692,26683,20225,22871,25852,0.567532,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01934,2,bam,m84081_231117_193129_s1.hifi_reads.bc2088.bam,s3://human-pangenomics/working/HPRC/HG01934/raw_data/PacBio_HiFi/m84081_231117_193129_s1.hifi_reads.bc2088.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,13.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545933,PRJNA701308,SAMN26237498,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01934_lib1_m84081_231117_193129_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1805975,41207695556,41.21,22817,107,63433,20985,23675,26666,20197,22847,25829,0.561051,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01934,2,bam,m84081_231117_204232_s3.hifi_reads.bc2088.bam,s3://human-pangenomics/working/HPRC/HG01934/raw_data/PacBio_HiFi/m84081_231117_204232_s3.hifi_reads.bc2088.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,14.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545930,PRJNA701308,SAMN26237498,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01934_lib1_m84081_231117_204232_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1931912,44464313716,44.46,23015,193,68010,21092,23797,26797,20331,22985,25974,0.553311,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01940,2,bam,m84091_240110_191713_s4.hifi_reads.bc1010.bam,s3://human-pangenomics/working/HPRC/HG01940/raw_data/PacBio_HiFi/m84091_240110_191713_s4.hifi_reads.bc1010.bam,unaligned reads,RU_Y3_topoff_redo,18.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336736,PRJNA701308,SAMN37797101,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01940_PB4_m84091_240110_191713_s4.hifi_reads.bc1010.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,3005904,57205109823,57.21,19030,205,55009,16742,19020,22308,16232,18226,21127,0.548052,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01943,2,bam,m84081_231122_210358_s4.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/m84081_231122_210358_s4.hifi_reads.bc2093.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,15.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545935,PRJNA701308,SAMN26237499,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01943_lib1_m84081_231122_210358_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,2416778,47157222479,47.16,19512,67,70540,17362,19570,22570,16886,18887,21632,0.558203,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01943,2,bam,m84081_231124_031433_s4.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/m84081_231124_031433_s4.hifi_reads.bc2093.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,16.8,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545934,PRJNA701308,SAMN26237499,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01943_lib1_m84081_231124_031433_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,2677782,52079665150,52.08,19448,91,72635,17318,19508,22480,16851,18834,21555,0.554952,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01952,2,bam,m84081_231222_081401_s1.hifi_reads.bc2029.bam,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2029.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,1.8,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578347,PRJNA701308,SAMN17861661,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01952_lib1_m84081_231222_081401_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,249770,5685773408,5.69,22764,219,67383,19825,23014,27349,18998,21820,25713,0.742556,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01952,2,bam,m84081_231222_101332_s2.hifi_reads.bc2029.bam,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_HiFi/m84081_231222_101332_s2.hifi_reads.bc2029.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.4,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578346,PRJNA701308,SAMN17861661,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01952_lib1_m84081_231222_101332_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,327996,7560749193,7.56,23051,245,65630,20060,23368,27741,19192,22129,26103,0.720114,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01952,2,bam,m84081_231222_141231_s4.hifi_reads.bc2029.bam,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_HiFi/m84081_231222_141231_s4.hifi_reads.bc2029.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.5,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578344,PRJNA701308,SAMN17861661,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01952_lib1_m84081_231222_141231_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,331269,7623185874,7.62,23012,236,73109,20051,23333,27655,19191,22112,26041,0.713615,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01952,2,bam,m84081_231222_121301_s3.hifi_reads.bc2029.bam,s3://human-pangenomics/working/HPRC/HG01952/raw_data/PacBio_HiFi/m84081_231222_121301_s3.hifi_reads.bc2029.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.5,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578345,PRJNA701308,SAMN17861661,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01952_lib1_m84081_231222_121301_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,332419,7709625066,7.71,23192,215,64901,20171,23530,27916,19298,22278,26279,0.709897,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01960,2,bam,m84091_230817_150246_s3.hifi_reads.bc1012.bam,s3://human-pangenomics/working/HPRC/HG01960/raw_data/PacBio_HiFi/m84091_230817_150246_s3.hifi_reads.bc1012.bam,unaligned reads,RU_Y3_topoff_redo,16.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336730,PRJNA701308,SAMN37797102,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01960_PB3_m84091_230817_150246_s3.hifi_reads.bc1012.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2669847,51521920991,51.52,19297,70,57666,16765,19261,22723,16237,18402,21481,0.556019,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01969,2,bam,m84091_240110_201841_s2.hifi_reads.bc1002.bam,s3://human-pangenomics/working/HPRC/HG01969/raw_data/PacBio_HiFi/m84091_240110_201841_s2.hifi_reads.bc1002.bam,unaligned reads,RU_Y3_topoff_redo,19.4,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336746,PRJNA701308,SAMN37797103,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG01969_PB5_m84091_240110_201841_s2.hifi_reads.bc1002.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2869967,60008819440,60.01,20909,62,65188,17764,21387,26025,16719,19839,24046,0.5809,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01975,2,bam,m84081_230721_192906_s4.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m84081_230721_192906_s4.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,12,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01975_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1952833,37057195075,37.06,18976,205,67749,16817,18362,21577,16586,17918,20304,0.600327,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01975,2,bam,m84081_230721_185800_s3.hifi_reads.bc2025.bam,s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_HiFi/m84081_230721_185800_s3.hifi_reads.bc2025.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,11.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01975_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1904090,36332054938,36.33,19081,235,65588,16863,18450,21825,16620,17983,20496,0.544679,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01978,2,bam,m84081_231222_081401_s1.hifi_reads.bc2021.bam,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2021.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,1.7,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578334,PRJNA701308,SAMN17861662,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01978_lib1_m84081_231222_081401_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,219931,5156687757,5.16,23446,486,72812,19903,23961,29337,18681,22205,26967,0.741852,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01978,2,bam,m84081_231222_121301_s3.hifi_reads.bc2021.bam,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_HiFi/m84081_231222_121301_s3.hifi_reads.bc2021.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.3,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578331,PRJNA701308,SAMN17861662,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01978_lib1_m84081_231222_121301_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,293055,7018452797,7.02,23949,342,75842,20362,24598,29974,19045,22783,27641,0.708478,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01978,2,bam,m84081_231222_101332_s2.hifi_reads.bc2021.bam,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_HiFi/m84081_231222_101332_s2.hifi_reads.bc2021.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.2,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578333,PRJNA701308,SAMN17861662,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01978_lib1_m84081_231222_101332_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,286454,6809706580,6.81,23772,145,69103,20233,24426,29725,18933,22624,27418,0.707079,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01978,2,bam,m84081_231222_141231_s4.hifi_reads.bc2021.bam,s3://human-pangenomics/working/HPRC/HG01978/raw_data/PacBio_HiFi/m84081_231222_141231_s4.hifi_reads.bc2021.bam,unaligned reads,WUSTL_HPRC_HiFi_Year1_TopUp,2.2,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR30578330,PRJNA701308,SAMN17861662,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01978_lib1_m84081_231222_141231_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,292391,6937180278,6.94,23725,106,71298,20168,24365,29637,18894,22581,27345,0.705712,TRUE,,TRUE,FALSE,2.9.0,2.09
HG01981,2,bam,m84081_231124_021221_s2.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2091.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,7.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545946,PRJNA701308,SAMN26237500,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01981_lib1_m84081_231124_021221_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1123309,23199356437,23.2,20652,271,67373,18122,20703,24261,17577,19837,23082,0.624834,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01981,2,bam,m84081_231124_024327_s3.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2091.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,8.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545945,PRJNA701308,SAMN26237500,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01981_lib1_m84081_231124_024327_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1240482,25563787489,25.56,20607,189,70539,18094,20656,24193,17557,19804,23026,0.597875,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01981,2,bam,m84081_231124_014115_s1.hifi_reads.bc2091.bam,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2091.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,8.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545947,PRJNA701308,SAMN26237500,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01981_lib1_m84081_231124_014115_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1301338,26663110951,26.66,20488,180,66246,18003,20501,24009,17481,19672,22844,0.587432,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01993,2,bam,m84081_231119_015049_s1.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_015049_s1.hifi_reads.bc2085.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,10.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545942,PRJNA701308,SAMN26237501,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01993_lib1_m84081_231119_015049_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1556380,33206085944,33.21,21335,162,63598,18901,21553,25035,18236,20676,23866,0.605239,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01993,2,bam,m84081_231119_025301_s3.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_025301_s3.hifi_reads.bc2085.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,11,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545920,PRJNA701308,SAMN26237501,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01993_lib1_m84081_231119_025301_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1593745,34049612903,34.05,21364,64,65649,18909,21586,25095,18240,20694,23916,0.597662,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG01993,2,bam,m84081_231119_022155_s2.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_022155_s2.hifi_reads.bc2085.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,11.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545931,PRJNA701308,SAMN26237501,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG01993_lib1_m84081_231119_022155_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1681080,35862689658,35.86,21333,95,71080,18887,21556,25055,18218,20674,23879,0.57908,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02004,2,bam,m84081_231029_030755_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/m84081_231029_030755_s4.hifi_reads.default.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,10.4,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545943,PRJNA701308,SAMN26237502,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02004_lib1_m84081_231029_030755_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1699283,32287995273,32.29,19000,462,56461,16581,18939,22009,16231,18069,21145,0.588254,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02004,2,bam,m84081_231027_205726_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/m84081_231027_205726_s4.hifi_reads.default.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,11.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545944,PRJNA701308,SAMN26237502,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02004_lib1_m84081_231027_205726_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1890808,35562878236,35.56,18808,207,60013,16470,18634,21710,16148,17863,20869,0.577099,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02015,2,bam,m84081_230721_175633_s1.hifi_reads.bc1022.bam,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1022.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,8.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02015_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1401831,25781047833,25.78,18390,180,53233,16280,17861,21147,16048,17371,20213,0.598743,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02015,2,bam,m84081_230721_182654_s2.hifi_reads.bc1022.bam,s3://human-pangenomics/working/HPRC/HG02015/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1022.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,8.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02015_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1451922,26742646975,26.74,18418,232,47219,16298,17889,21193,16065,17391,20263,0.598384,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02027,2,bam,m84081_231119_032407_s4.hifi_reads.bc2081.bam,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_HiFi/m84081_231119_032407_s4.hifi_reads.bc2081.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,8.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545919,PRJNA701308,SAMN26237503,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02027_lib1_m84081_231119_032407_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1386086,27723436595,27.72,20001,116,60932,17652,20028,23278,17137,19254,22198,0.587265,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02027,2,bam,m84081_231117_211338_s4.hifi_reads.bc2081.bam,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_HiFi/m84081_231117_211338_s4.hifi_reads.bc2081.bam,unaligned reads,WUSTL_HPRC_HiFi_Year2_TopUp,9.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30545921,PRJNA701308,SAMN26237503,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02027_lib1_m84081_231117_211338_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1417952,28486046392,28.49,20089,146,62955,17721,20122,23397,17198,19345,22299,0.583117,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02040,2,bam,m84046_230531_221339_s3.hifi_reads.bc2056.bam,s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_HiFi/m84046_230531_221339_s3.hifi_reads.bc2056.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483167,PRJNA701308,SAMN33758784,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG02040.HFSS2_m84046_230531_221339_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2277007,46891446851,46.89,20593,310,58406,18188,20858,24325,17572,19939,23175,0.566185,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02056,2,bam,m84081_230727_190726_s1.hifi_reads.bc2030.bam,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.bc2030.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,10.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02056_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1586362,31455375275,31.46,19828,252,53629,18360,19736,21461,18184,19477,21135,0.594512,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG02056,2,bam,m84081_230727_193748_s2.hifi_reads.bc2030.bam,s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_193748_s2.hifi_reads.bc2030.bam,unaligned reads,WUSTL_HPRC_HiFi_Year3_TopUp,10.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,tgraves@wustl.edu,Washington University,HG02056_lib1,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,C1,P1,1675950,33226493949,33.23,19825,140,48410,18351,19727,21460,18175,19468,21131,0.564754,TRUE,,TRUE,FALSE,2.7.1,2.0701
